,Beer,Total_Votes,Rating,Brewery,Beer_Style,ABV,Region,Latitude,Longitude,City,State
564,Raspberry Tart,"3,935",4.37,New Glarus Brewing Company,Fruit and Field Beer,4.00%,great-lakes,42.79428009999999,-89.62999959999998,Exeter,WI
565,Serendipity,"2,958",4.35,New Glarus Brewing Company,Fruit and Field Beer,4.00%,great-lakes,42.79428009999999,-89.62999959999998,Exeter,WI
566,Thumbprint Wild Sour Ale,"1,069",4.36,New Glarus Brewing Company,American Wild Ale,5.00%,great-lakes,42.79428009999999,-89.62999959999998,Exeter,WI
567,Wisconsin Belgian Red,"3,716",4.38,New Glarus Brewing Company,Fruit and Field Beer,4.00%,great-lakes,42.79428009999999,-89.62999959999998,Exeter,WI
568,Piety,79,4.22,New Orleans Lager & Ale Brewing Company (NOLA),American Wild Ale,4.00%,south,29.9200402,-90.0812295,New Orleans,LA
569,Perpetual Peace,98,4.22,No Label Brewing Company,Scotch Ale / Wee Heavy,11.10%,southwest,29.7865238,-95.81432,Katy,TX
570,Citra Showers,566,4.44,Noble Ale Works,American Imperial IPA,8.80%,pacific,33.8084819,-117.8828277,Anaheim,CA
571,Old Stock Cellar Reserve (Aged In Bourbon Barrels),"1,118",4.41,North Coast Brewing Co.,English Old Ale,13.16%,pacific,39.4457,-123.8053,Fort Bragg,CA
572,Talking Backwards Triple IPA,80,4.49,Ocelot Brewing Company,American Imperial IPA,10.80%,south-atlantic,38.96293970000001,-77.499291,Carters,VA
573,Rye Hipster Brunch Stout,400,4.47,Odd Side Ales,American Imperial Stout,11.00%,great-lakes,43.0651042,-86.232599,Grand Haven,MI
574,Hazel's Nuts,503,4.37,Odd Side Ales,American Imperial Stout,11.00%,great-lakes,43.0651042,-86.232599,Grand Haven,MI
575,Hipster Brunch Stout,850,4.36,Odd Side Ales,American Imperial Stout,11.00%,great-lakes,43.0651042,-86.232599,Grand Haven,MI
576,Double Dry-hopped Codename: Superfan,23,4.44,Odd13 Brewing,New England IPA,6.50%,mountain,39.998391299999994,-105.0878534,Lafayette,CO
577,Cerebral/ Fiction/ Weldwerks/ Odd 13 Brewing Robot Librarian,60,4.33,Odd13 Brewing,American Imperial IPA,8.25%,mountain,39.998391299999994,-105.0878534,Lafayette,CO
578,Jolly Russian,265,4.25,Odell Brewing Company,Russian Imperial Stout,13.00%,mountain,40.5894674,-105.06318190000002,Fort Collins,CO
579,IPA,"3,220",4.26,Odell Brewing Company,American IPA,7.00%,mountain,40.5894674,-105.06318190000002,Fort Collins,CO
580,Mountain Standard Double Black IPA,879,4.21,Odell Brewing Company,American Black Ale,8.10%,mountain,40.5894674,-105.06318190000002,Fort Collins,CO
581,Myrcenary Double IPA,"2,970",4.28,Odell Brewing Company,American Imperial IPA,9.30%,mountain,40.5894674,-105.06318190000002,Fort Collins,CO
582,M-43 N.E. India Pale Ale,957,4.42,Old Nation Brewing Co.,New England IPA,6.80%,great-lakes,42.687414700000005,-84.30315829999998,Williamston,MI
583,Boss Tweed,436,4.41,Old Nation Brewing Co.,New England IPA,9.30%,great-lakes,42.687414700000005,-84.30315829999998,Williamston,MI
584,The Event Horizon,"1,828",4.36,Olde Hickory Brewery,American Imperial Stout,11.75%,south-atlantic,35.73117999999999,-81.3420877,Hickory,NC
585,Appalachian Walker,52,4.42,Olde Hickory Brewery,British Barleywine,10.00%,south-atlantic,35.73117999999999,-81.3420877,Hickory,NC
586,Ten FIDY,"10,121",4.38,Oskar Blues Grill & Brew,American Imperial Stout,10.50%,mountain,39.7501564,-104.99765819999999,Denver,CO
587,Ten FIDY - Rum Barrel-Aged,128,4.32,Oskar Blues Grill & Brew,American Imperial Stout,14.17%,mountain,39.7501564,-104.99765819999999,Denver,CO
588,Oskar Blues / Cigar City - Bamburana,180,4.47,Oskar Blues Grill & Brew,American Imperial Stout,12.20%,mountain,39.7501564,-104.99765819999999,Denver,CO
589,Ten FIDY - Bourbon Barrel Aged,"2,069",4.47,Oskar Blues Grill & Brew,Russian Imperial Stout,12.90%,mountain,39.7501564,-104.99765819999999,Denver,CO
590,Ten FIDY - Bourbon Barrel-Aged - Java,149,4.32,Oskar Blues Grill & Brew,American Imperial Stout,10.50%,mountain,39.7501564,-104.99765819999999,Denver,CO
591,Double Dry Hopped Mylar Daydream,124,4.45,Other Half Brewing Co.,New England IPA,8.80%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
592,All Green Everything,"1,092",4.41,Other Half Brewing Co.,New England IPA,10.50%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
593,Double Mosaic Dream,242,4.43,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
594,Double Dry Hopped Double Mosaic Dream,540,4.55,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
595,4th Anniversary,197,4.59,Other Half Brewing Co.,New England IPA,10.00%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
596,The Dreamiest,36,4.56,Other Half Brewing Co.,New England IPA,7.80%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
597,Other Half / Burial - Velvet Magnum II,26,4.61,Other Half Brewing Co.,American Imperial Stout,15.00%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
598,Double Dry Hopped Mylar Bags,434,4.55,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
599,"We've Been Out There in Orbit (with Marcona Almonds, Cinnamon, and Vanilla)",26,4.52,Other Half Brewing Co.,American Imperial Stout,14.50%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
600,Triple Mylar Daydream,41,4.52,Other Half Brewing Co.,American Imperial IPA,11.30%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
601,5th Anniversary,60,4.48,Other Half Brewing Co.,New England IPA,10.00%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
602,Second Anniversary DIPA,191,4.42,Other Half Brewing Co.,New England IPA,9.00%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
603,Other Half / Trillium Like Whoa,139,4.43,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
604,Double Dry Hopped Citra + Galaxy,56,4.48,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
605,Space Hallucinations,62,4.47,Other Half Brewing Co.,American Imperial IPA,10.50%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
606,Green Power,73,4.44,Other Half Brewing Co.,American Imperial IPA,8.00%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
607,Space Daydream - Double Dry-Hopped,85,4.43,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
608,Space Daydream Imperial Oat Cream IPA,62,4.45,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
609,Double Dry Hopped Forever Simcoe,158,4.4,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
610,Double Dry Hopped Broccoli,191,4.39,Other Half Brewing Co.,New England IPA,7.90%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
611,Mylar Bags,183,4.38,Other Half Brewing Co.,New England IPA,8.80%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
612,"Triangle Test with Citra T-90, T-45 Lupulin Powder",43,4.46,Other Half Brewing Co.,American Imperial IPA,10.00%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
613,Double Dry Hopped Stacks On Stacks,137,4.38,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
614,Double Dry Hopped Citra Daydream,61,4.42,Other Half Brewing Co.,New England IPA,6.00%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
615,Vapor Ringz,35,4.55,Other Half Brewing Co.,New England IPA,8.40%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
616,Double Mosaic Daydream,76,4.49,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
617,Double Dry Hopped Cabbage,149,4.37,Other Half Brewing Co.,New England IPA,7.90%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
618,Snowbirds - Bourbon Barrel-Aged,26,4.52,Other Half Brewing Co.,American Imperial Stout,14.40%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
619,Triple Dry Hopped Triple Mosaic Daydream,62,4.48,Other Half Brewing Co.,New England IPA,11.50%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
620,Mosaic IPA,390,4.44,Other Half Brewing Co.,New England IPA,7.20%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
621,Triple Citra Daydream,120,4.54,Other Half Brewing Co.,New England IPA,10.50%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
622,Space Diamonds (Double Dry-Hopped),236,4.45,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
623,Double Dry Hopped All Citra Everything,445,4.52,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
624,All Infinity Everything,115,4.53,Other Half Brewing Co.,New England IPA,8.70%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
625,Double Dry Hopped Double Citra Daydream,230,4.5,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
626,All 5th Anniversary Everything - Banana,28,4.63,Other Half Brewing Co.,American Imperial Stout,15.40%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
627,Triple Cream Triple Dry Hopped Imperial Oat Cream IPA,105,4.48,Other Half Brewing Co.,New England IPA,10.00%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
628,3rd Anniversary Imperial IPA,302,4.58,Other Half Brewing Co.,New England IPA,10.00%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
629,Double Dry Hopped Double Mosaic Daydream,383,4.54,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic,40.6738864,-73.99905940000001,New York City,NY
630,In The Steep,45,4.36,Outer Range Brewing Co,New England IPA,6.70%,mountain,39.5892152,-106.09895359999999,Frisco,CO
631,Double IPA,32,4.26,Ozark Beer Co.,American Imperial IPA,8.50%,south,36.3336597,-94.1148094,Rogers,AR
632,Onyx Coffee Stout,40,4.4,Ozark Beer Co.,American Stout,5.30%,south,36.3336597,-94.1148094,Rogers,AR
633,BDCS,481,4.52,Ozark Beer Co.,American Imperial Stout,10.20%,south,36.3336597,-94.1148094,Rogers,AR
634,Attacus Atlas,67,4.38,Parish Brewing Company,American Imperial IPA,9.00%,south,30.1592283,-91.948504,Broussard,LA
635,Nova Vert,145,4.37,Parish Brewing Company,New England IPA,6.80%,south,30.1592283,-91.948504,Broussard,LA
636,Grand Reserve,99,4.23,Parish Brewing Company,American Barleywine,11.00%,south,30.1592283,-91.948504,Broussard,LA
637,Rêve,101,4.45,Parish Brewing Company,American Stout,6.60%,south,30.1592283,-91.948504,Broussard,LA
638,Envie - Double Dry-Hopped With Galaxy,13,4.37,Parish Brewing Company,American Pale Ale (APA),5.50%,south,30.1592283,-91.948504,Broussard,LA
639,Ghost In The Machine - Double Dry-Hopped,218,4.63,Parish Brewing Company,New England IPA,8.00%,south,30.1592283,-91.948504,Broussard,LA
640,Ghost In The Machine,915,4.46,Parish Brewing Company,New England IPA,8.00%,south,30.1592283,-91.948504,Broussard,LA
641,Imperial Reserve,54,4.25,Parish Brewing Company,American Imperial Stout,12.00%,south,30.1592283,-91.948504,Broussard,LA
642,Bloom - Double Dry-Hopped,19,4.32,Parish Brewing Company,American IPA,6.70%,south,30.1592283,-91.948504,Broussard,LA
643,Bloom,85,4.35,Parish Brewing Company,New England IPA,6.50%,south,30.1592283,-91.948504,Broussard,LA
644,Maple Shade,35,4.26,Parish Brewing Company,American Imperial Stout,14.00%,south,30.1592283,-91.948504,Broussard,LA
645,Mother Of All Storms,"2,075",4.45,Pelican Pub & Brewery,British Barleywine,14.00%,northwest,45.215229,-123.970382,Pacific City,OR
646,Coffee Abraxas,615,4.47,Perennial Artisan Ales,American Imperial Stout,10.00%,midwest,38.545549,-90.265596,St. Louis,MO
647,Barrel-Aged Sump Coffee Stout,585,4.51,Perennial Artisan Ales,American Imperial Stout,10.50%,midwest,38.545549,-90.265596,St. Louis,MO
648,Abraxas,"2,875",4.47,Perennial Artisan Ales,American Imperial Stout,10.00%,midwest,38.545549,-90.265596,St. Louis,MO
649,Apricot Funky Wit,32,4.55,Perennial Artisan Ales,Belgian Witbier,5.00%,midwest,38.545549,-90.265596,St. Louis,MO
650,Barrel-Aged Vermilion Barleywine,79,4.48,Perennial Artisan Ales,British Barleywine,11.00%,midwest,38.545549,-90.265596,St. Louis,MO
651,Barrel-Aged Abraxas,"1,500",4.74,Perennial Artisan Ales,American Imperial Stout,11.00%,midwest,38.545549,-90.265596,St. Louis,MO
652,Barrel-Aged 17 Mint Chocolate Stout,260,4.32,Perennial Artisan Ales,American Imperial Stout,11.50%,midwest,38.545549,-90.265596,St. Louis,MO
653,Sump Coffee Stout,"1,749",4.42,Perennial Artisan Ales,American Imperial Stout,10.50%,midwest,38.545549,-90.265596,St. Louis,MO
654,Vanilla Bean Abraxas,275,4.47,Perennial Artisan Ales,American Imperial Stout,10.00%,midwest,38.545549,-90.265596,St. Louis,MO
655,Maman,332,4.6,Perennial Artisan Ales,American Imperial Stout,11.50%,midwest,38.545549,-90.265596,St. Louis,MO
656,No Rules,"1,353",4.49,Perrin Brewing Co.,American Imperial Porter,15.00%,great-lakes,43.07133150000001,-85.6814191,Alpine,MI
657,Electric Jellyfish,134,4.3,Pinthouse Pizza - South Austin,New England IPA,6.50%,southwest,30.2360918,-97.7958819,Austin,TX
658,Fully Adrift,55,4.36,Pinthouse Pizza Craft Brewpub,American Imperial IPA,11.00%,southwest,30.2672,-97.7431,Austin,TX
659,Barrel Aged The Hyper Dog,124,4.51,Pipeworks Brewing Company,American Imperial Stout,13.00%,great-lakes,41.91834250000001,-87.72540479999998,Chicago,IL
660,The Final Act,60,4.44,Pipeworks Brewing Company,American Imperial Stout,13.00%,great-lakes,41.91834250000001,-87.72540479999998,Chicago,IL
661,Sure Bet,619,4.46,Pipeworks Brewing Company,American Imperial IPA,9.50%,great-lakes,41.91834250000001,-87.72540479999998,Chicago,IL
662,Spotted Puffer,430,4.38,Pipeworks Brewing Company,American Imperial IPA,9.50%,great-lakes,41.91834250000001,-87.72540479999998,Chicago,IL
663,Barrel Aged The Jones Dog,471,4.42,Pipeworks Brewing Company,American Imperial Stout,13.00%,great-lakes,41.91834250000001,-87.72540479999998,Chicago,IL
664,Barrel Aged The Abduction,133,4.39,Pipeworks Brewing Company,American Imperial Stout,13.00%,great-lakes,41.91834250000001,-87.72540479999998,Chicago,IL
665,Emerald Grouper,861,4.47,Pipeworks Brewing Company,American Imperial IPA,9.50%,great-lakes,41.91834250000001,-87.72540479999998,Chicago,IL
666,As You Wish...,200,4.43,Pipeworks Brewing Company,American Imperial Porter,11.00%,great-lakes,41.91834250000001,-87.72540479999998,Chicago,IL
667,Citra,"1,408",4.4,Pipeworks Brewing Company,American Imperial IPA,9.50%,great-lakes,41.91834250000001,-87.72540479999998,Chicago,IL
668,Crimson Snapper,444,4.41,Pipeworks Brewing Company,American Imperial IPA,9.50%,great-lakes,41.91834250000001,-87.72540479999998,Chicago,IL
669,Galaxy Unicorn,682,4.37,Pipeworks Brewing Company,American Imperial IPA,9.50%,great-lakes,41.91834250000001,-87.72540479999998,Chicago,IL
670,Prairie / Evil Twin - Bible Belt,"2,052",4.32,Prairie Artisan Ales,American Imperial Stout,13.00%,southwest,35.476283200000005,-97.51173370000001,Oklahoma City,OK
671,Apple Brandy Barrel Noir,"1,660",4.48,Prairie Artisan Ales,American Imperial Stout,12.00%,southwest,35.476283200000005,-97.51173370000001,Oklahoma City,OK
672,Vanilla Noir,"1,017",4.18,Prairie Artisan Ales,American Imperial Stout,11.50%,southwest,35.476283200000005,-97.51173370000001,Oklahoma City,OK
673,Birthday Bomb!,"1,264",4.36,Prairie Artisan Ales,American Imperial Stout,13.00%,southwest,35.476283200000005,-97.51173370000001,Oklahoma City,OK
674,Pirate Noir,689,4.2,Prairie Artisan Ales,American Imperial Stout,12.00%,southwest,35.476283200000005,-97.51173370000001,Oklahoma City,OK
675,Prairie / Evil Twin - Bible Belt - Barrel-Aged,371,4.42,Prairie Artisan Ales,American Imperial Stout,13.00%,southwest,35.476283200000005,-97.51173370000001,Oklahoma City,OK
676,Bourbon Paradise,488,4.6,Prairie Artisan Ales,American Imperial Stout,15.90%,southwest,35.476283200000005,-97.51173370000001,Oklahoma City,OK
677,Funky Gold Mosaic,970,4.18,Prairie Artisan Ales,American Wild Ale,6.50%,southwest,35.476283200000005,-97.51173370000001,Oklahoma City,OK
678,Barrel Aged Bomb!,"1,191",4.49,Prairie Artisan Ales,American Imperial Stout,11.20%,southwest,35.476283200000005,-97.51173370000001,Oklahoma City,OK
679,Prairie Hop,"1,171",4.17,Prairie Artisan Ales,Belgian Saison,8.00%,southwest,35.476283200000005,-97.51173370000001,Oklahoma City,OK
680,Paradise,774,4.26,Prairie Artisan Ales,American Imperial Stout,13.00%,southwest,35.476283200000005,-97.51173370000001,Oklahoma City,OK
681,Prairie Noir,937,4.18,Prairie Artisan Ales,American Imperial Stout,11.00%,southwest,35.476283200000005,-97.51173370000001,Oklahoma City,OK
682,Double Dunk,283,4.21,Prairie Artisan Ales,American Imperial Stout,11.90%,southwest,35.476283200000005,-97.51173370000001,Oklahoma City,OK
683,Coffee Okie,445,4.27,Prairie Artisan Ales,American Brown Ale,13.00%,southwest,35.476283200000005,-97.51173370000001,Oklahoma City,OK
684,Pirate Bomb!,"2,307",4.52,Prairie Artisan Ales,American Imperial Stout,15.00%,southwest,35.476283200000005,-97.51173370000001,Oklahoma City,OK
685,Pirate Paradise,260,4.6,Prairie Artisan Ales,American Imperial Stout,13.00%,southwest,35.476283200000005,-97.51173370000001,Oklahoma City,OK
686,Barrel Aged Christmas Bomb!,171,4.52,Prairie Artisan Ales,American Imperial Stout,13.00%,southwest,35.476283200000005,-97.51173370000001,Oklahoma City,OK
687,Funky Gold Citra,120,4.24,Prairie Artisan Ales,American Wild Ale,7.50%,southwest,35.476283200000005,-97.51173370000001,Oklahoma City,OK
688,Double Barrel Noir,14,4.52,Prairie Artisan Ales,American Imperial Stout,13.00%,southwest,35.476283200000005,-97.51173370000001,Oklahoma City,OK
689,Bomb!,"6,413",4.5,Prairie Artisan Ales,American Imperial Stout,13.00%,southwest,35.476283200000005,-97.51173370000001,Oklahoma City,OK
690,Consider Yourself Hugged,227,4.32,Prairie Artisan Ales,American Imperial Stout,11.90%,southwest,35.476283200000005,-97.51173370000001,Oklahoma City,OK
691,Deconstructed Bomb! Coffee,192,4.23,Prairie Artisan Ales,American Imperial Stout,11.80%,southwest,35.476283200000005,-97.51173370000001,Oklahoma City,OK
692,Okie Paradise,68,4.58,Prairie Artisan Ales,American Strong Ale,12.00%,southwest,35.476283200000005,-97.51173370000001,Oklahoma City,OK
693,Riot In Vermont,22,4.6,Prison City Pub & Brewery,New England IPA,6.50%,mid-atlantic,42.9318348,-76.568322,Auburn,NY
694,Benedictum,63,4.41,Real Ale Brewing Company,American Wild Ale,5.40%,southwest,30.113267800000003,-98.4128183,Blanco,TX
695,Scots Gone Wild,150,4.3,Real Ale Brewing Company,American Wild Ale,9.70%,southwest,30.113267800000003,-98.4128183,Blanco,TX
696,Blimey That's Bitter!,100,4.3,Reuben's Brews,American Imperial IPA,10.50%,northwest,47.66539789999999,-122.3730986,Seattle,WA
697,V.S.O.D.,119,4.42,Revolution Brewing,Russian Imperial Stout,14.80%,great-lakes,41.9235436,-87.6981993,Chicago,IL
698,Unsessionable,"1,075",4.37,Revolution Brewing,American Imperial IPA,10.00%,great-lakes,41.9235436,-87.6981993,Chicago,IL
699,V.S.O.J.,164,4.65,Revolution Brewing,British Barleywine,14.00%,great-lakes,41.9235436,-87.6981993,Chicago,IL
700,Café Deth,338,4.38,Revolution Brewing,Russian Imperial Stout,14.80%,great-lakes,41.9235436,-87.6981993,Chicago,IL
701,Da Yoopers,29,4.44,Rocky Mountain Brewing,Fruit and Field Beer,d Beer,mountain,38.8412875,-104.7163843,Elsmere,CO
702,Compunction,293,4.44,Russian River Brewing Company,American Wild Ale,7.40%,pacific,38.441804,-122.711642,Santa Rosa,CA
703,Blind Pig,"5,940",4.36,Russian River Brewing Company,American IPA,6.25%,pacific,38.441804,-122.711642,Santa Rosa,CA
704,Hopfather,180,4.4,Russian River Brewing Company,American IPA,7.00%,pacific,38.441804,-122.711642,Santa Rosa,CA
705,Consecration,"5,497",4.49,Russian River Brewing Company,American Wild Ale,10.00%,pacific,38.441804,-122.711642,Santa Rosa,CA
706,Beatification,"2,791",4.55,Russian River Brewing Company,American Wild Ale,6.00%,pacific,38.441804,-122.711642,Santa Rosa,CA
707,Supplication,"6,576",4.55,Russian River Brewing Company,American Wild Ale,7.75%,pacific,38.441804,-122.711642,Santa Rosa,CA
708,Pliny The Younger,"3,259",4.69,Russian River Brewing Company,American Imperial IPA,10.25%,pacific,38.441804,-122.711642,Santa Rosa,CA
709,Temptation,"3,797",4.45,Russian River Brewing Company,American Wild Ale,7.50%,pacific,38.441804,-122.711642,Santa Rosa,CA
710,Pliny The Elder,"15,128",4.64,Russian River Brewing Company,American Imperial IPA,8.00%,pacific,38.441804,-122.711642,Santa Rosa,CA
711,Framboise For A Cure,"1,068",4.43,Russian River Brewing Company,American Wild Ale,6.50%,pacific,38.441804,-122.711642,Santa Rosa,CA
712,Pumpkinator (Bourbon Barrel Aged),47,4.41,Saint Arnold Brewing Company,Pumpkin Beer,12.50%,southwest,29.771119,-95.348566,Houston,TX
713,Pumpkinator,990,4.27,Saint Arnold Brewing Company,Pumpkin Beer,10.00%,southwest,29.771119,-95.348566,Houston,TX
714,Power Of ONE,70,4.49,Sand City Brewing Co.,New England IPA,8.20%,mid-atlantic,40.8998536,-73.35084570000001,Northport,NY
715,Second Wave,92,4.45,Sand City Brewing Co.,New England IPA,8.00%,mid-atlantic,40.8998536,-73.35084570000001,Northport,NY
716,Infinity Minus ONE +2,58,4.47,Sand City Brewing Co.,New England IPA,8.20%,mid-atlantic,40.8998536,-73.35084570000001,Northport,NY
717,Sand City / Finback - Beach Front Avenue,26,4.54,Sand City Brewing Co.,American Imperial IPA,8.00%,mid-atlantic,40.8998536,-73.35084570000001,Northport,NY
718,Even Mo Mofo,100,4.48,Sand City Brewing Co.,New England IPA,8.50%,mid-atlantic,40.8998536,-73.35084570000001,Northport,NY
719,Radical ONE,58,4.45,Sand City Brewing Co.,American Imperial IPA,8.20%,mid-atlantic,40.8998536,-73.35084570000001,Northport,NY
720,International Playboy,32,4.49,Sand City Brewing Co.,New England IPA,8.00%,mid-atlantic,40.8998536,-73.35084570000001,Northport,NY
721,Infinity + 2,35,4.48,Sand City Brewing Co.,New England IPA,9.00%,mid-atlantic,40.8998536,-73.35084570000001,Northport,NY
722,Recency Effect,37,4.56,Sante Adairius Rustic Ales,Belgian Saison,7.00%,pacific,36.9832373,-121.9496012,Capitola,CA
723,Westly,355,4.67,Sante Adairius Rustic Ales,American Wild Ale,8.50%,pacific,36.9832373,-121.9496012,Capitola,CA
724,West Ashley,"1,120",4.56,Sante Adairius Rustic Ales,American Wild Ale,7.30%,pacific,36.9832373,-121.9496012,Capitola,CA
725,Sante Adairius / Triple Rock Cellarman Barrel Aged Saison,509,4.49,Sante Adairius Rustic Ales,Belgian Saison,6.50%,pacific,36.9832373,-121.9496012,Capitola,CA
726,Cask 200,352,4.4,Sante Adairius Rustic Ales,American Wild Ale,6.50%,pacific,36.9832373,-121.9496012,Capitola,CA
727,Saison Bernice,994,4.51,Sante Adairius Rustic Ales,Belgian Saison,6.50%,pacific,36.9832373,-121.9496012,Capitola,CA
728,Appreciation,278,4.45,Sante Adairius Rustic Ales,Belgian Saison,7.30%,pacific,36.9832373,-121.9496012,Capitola,CA
729,Coconut Vibes,75,4.6,Shared Brewing,Russian Imperial Stout,13.00%,midwest,38.626999999999995,-90.1994,St. Louis,MO
730,Coffee Shop Vibes - Peruvian,62,4.51,Shared Brewing,American Imperial Stout,13.00%,midwest,38.626999999999995,-90.1994,St. Louis,MO
731,Barrel-Aged Coconut Vibes,15,4.73,Shared Brewing,Russian Imperial Stout,15.00%,midwest,38.626999999999995,-90.1994,St. Louis,MO
732,Coffee Shop Vibes,28,4.48,Shared Brewing,Russian Imperial Stout,13.00%,midwest,38.626999999999995,-90.1994,St. Louis,MO
733,Coffee Shop Vibes - Colombian Duarte,16,4.63,Shared Brewing,Russian Imperial Stout,13.00%,midwest,38.626999999999995,-90.1994,St. Louis,MO
734,Rosé Du Blé,95,4.42,Side Project Brewing,Belgian Saison,6.00%,midwest,38.61188,-90.321888,Brentwood,MO
735,Blanc De Blancs,260,4.51,Side Project Brewing,Bière de Champagne / Bière Brut,10.00%,midwest,38.61188,-90.321888,Brentwood,MO
736,Längst,30,4.5,Side Project Brewing,German Altbier,10.00%,midwest,38.61188,-90.321888,Brentwood,MO
737,Biere Du Pays,350,4.32,Side Project Brewing,Belgian Saison,4.00%,midwest,38.61188,-90.321888,Brentwood,MO
738,Jammy,155,4.52,Side Project Brewing,American Wild Ale,8.00%,midwest,38.61188,-90.321888,Brentwood,MO
739,Balaton,204,4.44,Side Project Brewing,American Wild Ale,5.00%,midwest,38.61188,-90.321888,Brentwood,MO
740,Peche Du Fermier,180,4.52,Side Project Brewing,Belgian Saison,8.00%,midwest,38.61188,-90.321888,Brentwood,MO
741,Raspe,63,4.41,Side Project Brewing,American Wild Ale,6.00%,midwest,38.61188,-90.321888,Brentwood,MO
742,Thicket,195,4.52,Side Project Brewing,American Wild Ale,6.00%,midwest,38.61188,-90.321888,Brentwood,MO
743,Saison Du Blé,535,4.41,Side Project Brewing,Belgian Saison,6.00%,midwest,38.61188,-90.321888,Brentwood,MO
744,La Fosse,361,4.51,Side Project Brewing,American Wild Ale,8.00%,midwest,38.61188,-90.321888,Brentwood,MO
745,O.W.K.,11,4.93,Side Project Brewing,American Imperial Stout,15.00%,midwest,38.61188,-90.321888,Brentwood,MO
746,Smooth,142,4.55,Side Project Brewing,American Wild Ale,6.00%,midwest,38.61188,-90.321888,Brentwood,MO
747,Leaner,73,4.6,Side Project Brewing,Belgian Saison,8.00%,midwest,38.61188,-90.321888,Brentwood,MO
748,Saison Du Fermier - Pinot Noir Puncheons,76,4.5,Side Project Brewing,Belgian Saison,7.00%,midwest,38.61188,-90.321888,Brentwood,MO
749,Derivation Blend #9 (Cinnamon/Maple),22,4.83,Side Project Brewing,American Imperial Stout,14.00%,midwest,38.61188,-90.321888,Brentwood,MO
750,Saison Du Fermier,790,4.56,Side Project Brewing,Belgian Saison,7.00%,midwest,38.61188,-90.321888,Brentwood,MO
751,Blueberry Flanders,277,4.38,Side Project Brewing,Flanders Red Ale,7.00%,midwest,38.61188,-90.321888,Brentwood,MO
752,Saison Du Fermier - Foedre Fermier,107,4.41,Side Project Brewing,Belgian Saison,7.00%,midwest,38.61188,-90.321888,Brentwood,MO
753,Anabasis,136,4.71,Side Project Brewing,American Barleywine,14.00%,midwest,38.61188,-90.321888,Brentwood,MO
754,Framboise Du Fermier,237,4.68,Side Project Brewing,Belgian Saison,8.00%,midwest,38.61188,-90.321888,Brentwood,MO
755,Bleuet Du Fermier,81,4.46,Side Project Brewing,Belgian Saison,8.00%,midwest,38.61188,-90.321888,Brentwood,MO
